group,n,prevalence,auroc,ece,ece_ci_lo,ece_ci_hi,group_var,model,recal,seed
White,3000,0.12533333333333332,0.8742631438116242,0.020182167363180875,0.013738353615262046,0.03169789425102683,ethnicity_group,lr,none,2
Medicaid,651,0.11674347158218126,0.8480320366132722,0.038467030524095454,0.02888294114568038,0.06350209719464059,insurance_group,lr,none,2
Medicare,2579,0.15393563396665375,0.8639244378669536,0.02207529214226918,0.018164842761360954,0.037934903136635445,insurance_group,lr,none,2
Other,1442,0.10402219140083217,0.9109029927760578,0.018837862532647905,0.012716291815214716,0.0325551082199763,insurance_group,lr,none,2
18-44,586,0.08361774744027303,0.8952228936267244,0.04059817758603401,0.030414763857948085,0.0625365488646689,age_band,lr,temperature,2
45-64,1573,0.12015257469802924,0.8881931064011989,0.017310317793675457,0.013075484055442002,0.03516384984362454,age_band,lr,temperature,2
65-79,1622,0.13563501849568435,0.8815685384515627,0.019610501227759074,0.017639295915809903,0.0396318410466879,age_band,lr,temperature,2
80+,891,0.18518518518518517,0.8342182152099509,0.03515671921855217,0.024364354688497163,0.06350568339118673,age_band,lr,temperature,2
F,2012,0.14463220675944333,0.8610653519990575,0.020087345237842547,0.012973892323168474,0.03641067379381457,sex,lr,temperature,2
M,2660,0.12481203007518797,0.8879758725624146,0.016237284799227432,0.012850168338643457,0.02925434263146979,sex,lr,temperature,2
Asian,149,0.10738255033557047,0.9069548872180451,0.0461193549592916,0.03621578733278304,0.09072204059979033,ethnicity_group,lr,temperature,2
Black,395,0.11139240506329114,0.8837736337736338,0.041479020029240886,0.028046436088415713,0.06873175160596534,ethnicity_group,lr,temperature,2
Hispanic,143,0.1048951048951049,0.9010416666666666,0.04327560403218296,0.03138740323002548,0.09328067785256158,ethnicity_group,lr,temperature,2
Other,985,0.1746192893401015,0.8687176406647786,0.027236754455472235,0.01794263455964484,0.04977198355580404,ethnicity_group,lr,temperature,2
White,3000,0.12533333333333332,0.8742631438116242,0.021278537839635854,0.014675339356957662,0.03259599556929329,ethnicity_group,lr,temperature,2
Medicaid,651,0.11674347158218126,0.8480320366132722,0.04012536064634012,0.029606044086714686,0.0656023990556543,insurance_group,lr,temperature,2
Medicare,2579,0.15393563396665375,0.8639244378669536,0.021807586665323276,0.0173422094848622,0.03620256817758924,insurance_group,lr,temperature,2
Other,1442,0.10402219140083217,0.9109029927760578,0.020976088521324078,0.014390131875762447,0.03392029388636405,insurance_group,lr,temperature,2
18-44,586,0.08361774744027303,0.9209516208718124,0.02405984205507304,0.016546447277910412,0.048319011481943466,age_band,xgb,none,2
45-64,1573,0.12015257469802924,0.8921957671957673,0.011264824349122637,0.010848038436419249,0.02919837305845455,age_band,xgb,none,2
65-79,1622,0.13563501849568435,0.8980774218648685,0.019262794191626378,0.011763286334062331,0.0321544582851074,age_band,xgb,none,2
80+,891,0.18518518518518517,0.8355455380248767,0.03047325891728997,0.023765624991303733,0.061317738945308176,age_band,xgb,none,2
F,2012,0.14463220675944333,0.8798189336895555,0.018895947653696107,0.013173365904811607,0.0337368900724704,sex,xgb,none,2
M,2660,0.12481203007518797,0.8925198215542582,0.008344195772765935,0.007612508831755127,0.02324431314534979,sex,xgb,none,2
Asian,149,0.10738255033557047,0.8721804511278195,0.04551030353302349,0.030129360855614063,0.09304439415448128,ethnicity_group,xgb,none,2
Black,395,0.11139240506329114,0.9338901838901839,0.037889421989999804,0.024049675529439568,0.06304893838044968,ethnicity_group,xgb,none,2
Hispanic,143,0.1048951048951049,0.9125,0.0484248483284878,0.028722616248166556,0.09226949771713967,ethnicity_group,xgb,none,2
Other,985,0.1746192893401015,0.881060671071827,0.03356356189283661,0.024136804248591014,0.05648957986955183,ethnicity_group,xgb,none,2
White,3000,0.12533333333333332,0.881816173131811,0.009254256323988862,0.0072588976932558575,0.020596258075597385,ethnicity_group,xgb,none,2
Medicaid,651,0.11674347158218126,0.8584897025171625,0.03738576848347445,0.024596913319098777,0.06042049585499767,insurance_group,xgb,none,2
Medicare,2579,0.15393563396665375,0.8712490793693306,0.01902768496978636,0.012746566717674112,0.030940826733763364,insurance_group,xgb,none,2
Other,1442,0.10402219140083217,0.925407636738906,0.017417096422763026,0.009992480920425683,0.03179285374549917,insurance_group,xgb,none,2
