group,n,deferral_rate,global_deferral_rate,disparity_ratio,group_var,model,recal,seed
F,2002,0.0969030969030969,0.10017123287671233,0.9673745058360442,sex,xgb,none,0
M,2670,0.10262172284644194,0.10017123287671233,1.024463010979865,sex,xgb,none,0
Asian,157,0.08917197452229299,0.10017123287671233,0.8901954379661385,ethnicity_group,xgb,none,0
Black,413,0.11138014527845036,0.10017123287671233,1.1118975186771798,ethnicity_group,xgb,none,0
Hispanic,178,0.11235955056179775,0.10017123287671233,1.121674829539998,ethnicity_group,xgb,none,0
Other,944,0.11864406779661017,0.10017123287671233,1.1844125742430829,ethnicity_group,xgb,none,0
White,2980,0.09261744966442953,0.10017123287671233,0.9245912923765273,ethnicity_group,xgb,none,0
Medicaid,681,0.09104258443465492,0.10017123287671233,0.9088695608519397,insurance_group,xgb,none,0
Medicare,2554,0.10924040720438528,0.10017123287671233,1.0905367146557436,insurance_group,xgb,none,0
Other,1437,0.0883785664578984,0.10017123287671233,0.882274919853208,insurance_group,xgb,none,0
18-44,585,0.08034188034188035,0.10017123287671233,0.8020454379428739,age_band,xgb,temperature,0
45-64,1601,0.09993753903810118,0.10017123287671233,0.9976670563803606,age_band,xgb,temperature,0
65-79,1570,0.09681528662420383,0.10017123287671233,0.966497904077522,age_band,xgb,temperature,0
80+,916,0.11899563318777293,0.10017123287671233,1.187922218489904,age_band,xgb,temperature,0
F,2002,0.0969030969030969,0.10017123287671233,0.9673745058360442,sex,xgb,temperature,0
M,2670,0.10262172284644194,0.10017123287671233,1.024463010979865,sex,xgb,temperature,0
Asian,157,0.08917197452229299,0.10017123287671233,0.8901954379661385,ethnicity_group,xgb,temperature,0
Black,413,0.11138014527845036,0.10017123287671233,1.1118975186771798,ethnicity_group,xgb,temperature,0
Hispanic,178,0.11235955056179775,0.10017123287671233,1.121674829539998,ethnicity_group,xgb,temperature,0
Other,944,0.11864406779661017,0.10017123287671233,1.1844125742430829,ethnicity_group,xgb,temperature,0
White,2980,0.09261744966442953,0.10017123287671233,0.9245912923765273,ethnicity_group,xgb,temperature,0
Medicaid,681,0.09104258443465492,0.10017123287671233,0.9088695608519397,insurance_group,xgb,temperature,0
Medicare,2554,0.10924040720438528,0.10017123287671233,1.0905367146557436,insurance_group,xgb,temperature,0
Other,1437,0.0883785664578984,0.10017123287671233,0.882274919853208,insurance_group,xgb,temperature,0
18-44,585,0.0547008547008547,0.10017123287671233,0.5460734896632332,age_band,mlp,none,0
45-64,1601,0.10306058713304185,0.10017123287671233,1.0288441518922469,age_band,mlp,none,0
65-79,1570,0.09617834394904459,0.10017123287671233,0.9601393652349067,age_band,mlp,none,0
80+,916,0.13100436681222707,0.10017123287671233,1.3078042772365917,age_band,mlp,none,0
F,2002,0.1038961038961039,0.10017123287671233,1.0371850371850373,sex,mlp,none,0
M,2670,0.09737827715355805,0.10017123287671233,0.9721181856013317,sex,mlp,none,0
Asian,157,0.06369426751592357,0.10017123287671233,0.6358538842615276,ethnicity_group,mlp,none,0
Black,413,0.09927360774818401,0.10017123287671233,0.9910390927340079,ethnicity_group,mlp,none,0
Hispanic,178,0.028089887640449437,0.10017123287671233,0.2804187073849995,ethnicity_group,mlp,none,0
Other,944,0.11334745762711865,0.10017123287671233,1.1315370128929452,ethnicity_group,mlp,none,0
White,2980,0.10234899328859061,0.10017123287671233,1.0217403774450755,ethnicity_group,mlp,none,0
